key,context,english,arabic,french
bill_empty_subtitle,Empty state subtitle,Scan a receipt or add items manually,امسح إيصالاً أو أضف عناصر يدوياً,Scannez un reçu ou ajoutez manuellement
bill_scan_button,Primary button,Scan Receipt,مسح الإيصال,Scanner le reçu
bill_add_manually,Secondary button,Add Manually,إضافة يدوية,Ajouter manuellement
bill_add_item,Button,Add item,إضافة عنصر,Ajouter un élément
bill_take_photo,Image source,Take Photo,التقاط صورة,Prendre une photo
bill_from_gallery,Image source,Choose from Gallery,اختيار من المعرض,Choisir depuis la galerie
bill_no_text,OCR failure snackbar,No text detected. Try a clearer photo.,لم يتم اكتشاف نص. جرب صورة أوضح.,Aucun texte détecté. Essayez une photo plus nette.
bill_enter_amount,OCR amount dialog title,Enter amount,أدخل المبلغ,Saisir le montant
bill_amount,Amount label,Amount,المبلغ,Montant
bill_keep_as_one,Dialog button,Keep as one,إبقاء كعنصر واحد,Garder en un seul
bill_split,Dialog button,Split,تقسيم,Diviser
bill_whos_splitting,Section header,WHO'S SPLITTING?,من يتقاسم؟,QUI PARTAGE ?
bill_add_person,Text field hint,Add person,إضافة شخص,Ajouter une personne
bill_split_evenly,Toggle title,Split evenly,تقسيم بالتساوي,Partager équitablement
bill_assign_items,Section header,ASSIGN ITEMS,تعيين العناصر,ATTRIBUER LES ÉLÉMENTS
bill_item_name,Text field hint,Item name,اسم العنصر,Nom de l'élément
bill_tip,Section title,Tip,بقشيش,Pourboire
bill_tip_none,Tip trailing,None,بدون,Aucun
bill_percentage,Tip mode,Percentage,نسبة مئوية,Pourcentage
bill_tip_amount,Tip field label,Tip amount,مبلغ البقشيش,Montant du pourboire
bill_currency,Section title,Currency,العملة,Devise
bill_bill_currency,Currency label,Bill currency,عملة الفاتورة,Devise de l'addition
bill_rate_hint,Rate field hint,Rate,السعر,Taux
bill_total,Summary label,Total,الإجمالي,Total
bill_re_scan,Re-scan button,Re-scan,إعادة المسح,Re-scanner
bill_n_lines,OCR summary,{detected} lines ({withPrice} with prices),{detected} سطر ({withPrice} بأسعار),{detected} lignes ({withPrice} avec prix)
bill_me,Default person name,Me,أنا,Moi
# ──────────────────────────────────────────────
# ALLOCATIONS / ENVELOPES — List
# ──────────────────────────────────────────────
alloc_title,Screen title,Budget,الميزانية,Budget
alloc_search_tooltip,Tooltip,Search envelopes,البحث في الأظرف,Rechercher des enveloppes
alloc_help_tooltip,Tooltip,How envelopes work,كيف تعمل الأظرف,Comment fonctionnent les enveloppes
alloc_help_title,Dialog title,How Envelopes Work,كيف تعمل الأظرف,Comment fonctionnent les enveloppes
alloc_help_step_1,Help step,Create envelopes for each spending category,أنشئ أظرفاً لكل فئة إنفاق,Créez des enveloppes pour chaque catégorie de dépense
alloc_help_step_2,Help step,Set a monthly budget target for each,حدد هدفاً شهرياً لكل ظرف,Définissez un objectif mensuel pour chacune
alloc_help_step_3,Help step,Fund envelopes when you get paid,موّل الأظرف عند استلام راتبك,Financez les enveloppes quand vous êtes payé
alloc_help_step_4,Help step,Spend from envelopes — track what's left,أنفق من الأظرف — تتبع ما تبقّى,Dépensez depuis les enveloppes — suivez ce qu'il reste
alloc_search_hint,Search hint,Search envelopes...,البحث في الأظرف...,Rechercher des enveloppes...
alloc_new_period_started,Banner title,New period started,بدأت فترة جديدة,Nouvelle période commencée
alloc_n_need_review,Banner subtitle,{count} envelope(s) need review,{count} ظرف(أظرف) تحتاج مراجعة,{count} enveloppe(s) à examiner
alloc_review,Banner button,Review,مراجعة,Examiner
alloc_budgeted,Summary label,Budgeted,مخصص,Budgétisé
alloc_spent,Summary label,Spent,مُنفَق,Dépensé
alloc_remaining,Summary label,Remaining,متبقٍّ,Restant
alloc_unallocated,Banner label,Unallocated,غير موزع,Non affecté
alloc_fund_envelopes,Button,Fund Envelopes,تمويل الأظرف,Financer les enveloppes
alloc_other_currencies_singular,Expandable link,+ 1 other currency,+ عملة أخرى واحدة,+ 1 autre devise
alloc_other_currencies_plural,Expandable link,+ {count} other currencies,+ {count} عملات أخرى,+ {count} autres devises
alloc_hide_other_currencies,Expandable link,Hide other currencies,إخفاء العملات الأخرى,Masquer les autres devises
alloc_section_spending,Section header,Spending,إنفاق,Dépenses
alloc_section_flexible,Section header,Flexible,مرن,Flexible
alloc_section_flexible,Section header,Flexible,مرن,Flexible
alloc_no_match,Search empty state,"No envelopes match ""{query}""",لا أظرف تطابق ""{query}"",Aucune enveloppe ne correspond à « {query} »
alloc_create_tooltip,FAB tooltip,Create envelope,إنشاء ظرف,Créer une enveloppe
alloc_no_yet,Empty state title,No envelopes yet,لا أظرف بعد,Aucune enveloppe pour le moment
alloc_create_help,Empty state subtitle,"Create an envelope to start budgeting.\nTap ? for help.","أنشئ ظرفاً لبدء الميزانية.\nاضغط ؟ للمساعدة.","Créez une enveloppe pour commencer.\nAppuyez sur ? pour l'aide."
alloc_create_button,Empty state button,Create Envelope,إنشاء ظرف,Créer une enveloppe
# ──────────────────────────────────────────────
# ALLOCATIONS / ENVELOPES — Detail
# ──────────────────────────────────────────────
alloc_new_envelope,AppBar title,New Envelope,ظرف جديد,Nouvelle enveloppe
alloc_fallback_name,Fallback name,Envelope,ظرف,Enveloppe
alloc_edit_settings,Menu item,Edit Settings,تعديل الإعدادات,Modifier les paramètres
alloc_withdraw_menu,Menu item,Withdraw,سحب,Retirer
alloc_revalue_menu,Menu item,Revalue Balances,إعادة تقييم الأرصدة,Réévaluer les soldes
alloc_archive_menu,Menu item,Archive,أرشفة,Archiver
alloc_delete_menu,Menu item,Delete,حذف,Supprimer
alloc_create_button_detail,Bottom button,Create Envelope,إنشاء ظرف,Créer l'enveloppe
alloc_save_changes,Bottom button,Save Changes,حفظ التغييرات,Enregistrer les modifications
alloc_name_icon_section,Section header,NAME & ICON,الاسم والأيقونة,NOM ET ICÔNE
alloc_name_hint,TextField hint,Envelope name (e.g. Groceries),اسم الظرف (مثل: بقالة),Nom de l'enveloppe (ex. Courses)
alloc_remove_icon,Button,Remove icon,إزالة الأيقونة,Supprimer l'icône
alloc_type_section,Section header,ENVELOPE TYPE,نوع الظرف,TYPE D'ENVELOPPE
alloc_spending_title,Type option,Spending,إنفاق,Dépenses
alloc_spending_desc,Type description,For recurring expenses like groceries or fuel. Set a monthly budget and spend from it.,للنفقات المتكررة كالبقالة أو الوقود. حدد ميزانية شهرية وأنفق منها.,Pour les dépenses récurrentes comme les courses ou le carburant. Définissez un budget mensuel.
alloc_flexible_title,Type option,Flexible,مرن,Flexible
alloc_flexible_desc,Type description,"For anything else — set an optional target or leave it open. Accumulates over time.",لأي شيء آخر — حدد هدفاً اختيارياً أو اتركه مفتوحاً. يتراكم مع الوقت.,Pour tout le reste — définissez un objectif optionnel ou laissez-le ouvert. S'accumule.
alloc_info_goals_hint,Info banner,"Envelopes plan how to use your money. To save toward a goal or track debts, use Goals & Loans instead.",الأظرف تخطط لاستخدام أموالك. للادخار نحو هدف أو تتبع الديون استخدم الأهداف والقروض.,Les enveloppes planifient l'utilisation de votre argent. Pour épargner ou suivre des dettes utilisez Objectifs et prêts.
alloc_target_optional_section,Section header,TARGET (OPTIONAL),الهدف (اختياري),OBJECTIF (OPTIONNEL)
alloc_target_optional_help,Help text,"Set a target amount, or leave at zero for open-ended.",حدد مبلغاً مستهدفاً أو اتركه صفراً للمفتوح.,"Définissez un montant cible, ou laissez à zéro."
alloc_goals_loans_card,Card title,Goals & Loans,الأهداف والقروض,Objectifs et prêts
alloc_info_banner,Info text,"Envelopes don't move money between accounts. They help you plan how to use the money you already have.",الأظرف لا تنقل المال بين الحسابات. إنها تساعدك على تخطيط استخدام أموالك الحالية.,Les enveloppes ne déplacent pas l'argent entre les comptes. Elles vous aident à planifier l'utilisation de votre argent.
alloc_purpose_section,Section header,PURPOSE,الغرض,OBJECTIF
alloc_saving,Chip label,Saving,ادخار,Épargne
alloc_flexible,Chip label,Flexible,مرن,Flexible
alloc_cycle_section,Section header,CYCLE,الدورة,CYCLE
alloc_periodic_desc,Help text,"• Periodic: resets each month (e.g. groceries budget)\n• Permanent: accumulates over time (e.g. emergency fund)","• دوري: يُعاد تعيينه كل شهر (مثل: ميزانية البقالة)\n• دائم: يتراكم مع الوقت (مثل: صندوق الطوارئ)","• Périodique : se réinitialise chaque mois (ex. budget courses)\n• Permanent : s'accumule dans le temps (ex. fonds d'urgence)"
alloc_periodic,Chip label,Periodic,دوري,Périodique
alloc_permanent,Chip label,Permanent,دائم,Permanent
alloc_rollover_title,Switch title,Rollover balance,ترحيل الرصيد,Reporter le solde
alloc_rollover_subtitle,Switch subtitle,Carry remaining funds to the next period,ترحيل الأموال المتبقية للفترة التالية,Reporter les fonds restants à la prochaine période
alloc_auto_reset_title,Switch title,Auto-reset,إعادة تعيين تلقائية,Réinitialisation auto
alloc_auto_reset_subtitle,Switch subtitle,Reset automatically at period start,إعادة التعيين تلقائياً عند بداية الفترة,Réinitialiser automatiquement au début de la période
alloc_savings_target_section,Section header,SAVINGS TARGET,هدف الادخار,OBJECTIF D'ÉPARGNE
alloc_monthly_budget_section,Section header,MONTHLY BUDGET,الميزانية الشهرية,BUDGET MENSUEL
alloc_savings_target_help,Help text,How much do you want to save in this envelope?,كم تريد أن تدخر في هذا الظرف؟,Combien souhaitez-vous épargner dans cette enveloppe ?
alloc_monthly_budget_help,Help text,How much do you want to spend in this envelope each month?,كم تريد أن تنفق من هذا الظرف كل شهر؟,Combien souhaitez-vous dépenser dans cette enveloppe chaque mois ?
alloc_target_amount,Field label,Target amount,المبلغ المستهدف,Montant cible
alloc_budget_amount,Field label,Budget amount,مبلغ الميزانية,Montant du budget
alloc_currency_label,Field label,Currency,العملة,Devise
alloc_linked_categories,Section header,LINKED CATEGORIES,الفئات المرتبطة,CATÉGORIES LIÉES
alloc_linked_help,Help text,Expenses with these categories will debit this envelope.,المصاريف بهذه الفئات ستُخصم من هذا الظرف.,Les dépenses avec ces catégories seront débitées de cette enveloppe.
alloc_no_categories_warning,Warning banner,No categories linked. Tap + to link categories so expenses debit this envelope.,لا فئات مرتبطة. اضغط + لربط الفئات حتى تُخصم المصاريف من هذا الظرف.,Aucune catégorie liée. Appuyez sur + pour lier des catégories.
alloc_link_category,Button,Link Category,ربط فئة,Lier une catégorie
alloc_saved_label,Balance hero label (savings),Saved,مدّخر,Épargné
alloc_available_label,Balance hero label (spending),Available,متاح,Disponible
alloc_left_suffix,Progress bar suffix,left,متبقٍّ,restant
alloc_from_unallocated,Fund sheet subtitle,From your unallocated balance,من رصيدك غير الموزع,Depuis votre solde non affecté
alloc_amount_hint,Fund field hint,Amount,المبلغ,Montant
alloc_overfunding_title,Dialog title,Over-funding,تمويل زائد,Surfinancement
alloc_overfunding_msg,Dialog content,Your unallocated balance will go negative. Continue anyway?,سيصبح رصيدك غير الموزع سالباً. المتابعة؟,Votre solde non affecté deviendra négatif. Continuer ?
alloc_fund_anyway,Dialog button,Fund Anyway,تمويل على أي حال,Financer quand même
alloc_could_not_fund,Error snackbar,Could not fund: {error},تعذّر التمويل: {error},Impossible de financer : {error}
alloc_recent_activity,Section header,RECENT ACTIVITY,النشاط الأخير,ACTIVITÉ RÉCENTE
alloc_no_activity,Empty state,No activity yet,لا نشاط بعد,Aucune activité
alloc_ledger_funded,Ledger type,Funded,موّل,Financé
alloc_ledger_spent,Ledger type,Spent,أُنفق,Dépensé
alloc_ledger_adjustment,Ledger type,Adjustment,تعديل,Ajustement
alloc_ledger_period_reset,Ledger type,Period Reset,إعادة تعيين الفترة,Réinitialisation de période
alloc_ledger_carried,Ledger type,Carried Forward,مُرحَّل,Reporté
alloc_spending_history,Section header,SPENDING HISTORY,تاريخ الإنفاق,HISTORIQUE DES DÉPENSES
alloc_withdraw_title,Sheet title,Withdraw from Savings,السحب من المدخرات,Retrait de l'épargne
alloc_withdraw_help,Sheet subtitle,Move money from this envelope back to Unallocated.,نقل المال من هذا الظرف إلى غير الموزع.,Transférer l'argent de cette enveloppe vers Non affecté.
alloc_withdraw_amount,Field label,Amount to withdraw,المبلغ المراد سحبه,Montant à retirer
alloc_withdraw_button,Button,Withdraw,سحب,Retirer
alloc_all_linked,Snackbar,All categories are already linked to envelopes,جميع الفئات مرتبطة بأظرف بالفعل,Toutes les catégories sont déjà liées à des enveloppes
alloc_link_title,Sheet title,Link a Category,ربط فئة,Lier une catégorie
alloc_no_foreign_balances,Snackbar,No foreign-currency balances to revalue,لا أرصدة بعملات أجنبية لإعادة تقييمها,Aucun solde en devise étrangère à réévaluer
alloc_revalue_title,Sheet title,Revalue Foreign Balances,إعادة تقييم الأرصدة الأجنبية,Réévaluer les soldes étrangers
alloc_balance_in_envelope,Label,balance in this envelope,الرصيد في هذا الظرف,solde dans cette enveloppe
alloc_original_rate,Label,Original rate,السعر الأصلي,Taux original
alloc_original_value,Label,Original value,القيمة الأصلية,Valeur originale
alloc_new_rate,Field label,New rate,السعر الجديد,Nouveau taux
alloc_fetch_button,Button,Fetch,جلب,Récupérer
alloc_new_value,Label,New value,القيمة الجديدة,Nouvelle valeur
alloc_gain,Label,Gain,ربح,Gain
alloc_loss,Label,Loss,خسارة,Perte
alloc_total_adjustment,Label,Total adjustment,إجمالي التعديل,Ajustement total
alloc_apply_revaluation,Button,Apply Revaluation,تطبيق إعادة التقييم,Appliquer la réévaluation
alloc_revaluation_applied,Snackbar,Revaluation applied,تم تطبيق إعادة التقييم,Réévaluation appliquée
alloc_archive_title,Dialog title,Archive Envelope,أرشفة الظرف,Archiver l'enveloppe
alloc_archive_msg,Dialog content,"This envelope will be hidden from all lists. Linked categories and transaction history will be preserved.\n\nYou can unarchive it later from Settings.","سيتم إخفاء هذا الظرف من جميع القوائم. ستُحفظ الفئات المرتبطة وتاريخ المعاملات.\n\nيمكنك إلغاء الأرشفة لاحقاً من الإعدادات.","Cette enveloppe sera masquée de toutes les listes. Les catégories liées et l'historique seront préservés.\n\nVous pourrez la désarchiver dans les Paramètres."
alloc_archived,Snackbar,Envelope archived,تم أرشفة الظرف,Enveloppe archivée
alloc_delete_title,Dialog title,Delete Envelope,حذف الظرف,Supprimer l'enveloppe
alloc_archive_instead,Dialog button,Archive Instead,أرشفة بدلاً من ذلك,Archiver à la place
alloc_delete_permanently,Dialog button,Delete Permanently,حذف نهائي,Supprimer définitivement
alloc_delete_no_linked_title,Dialog title,Delete Envelope Permanently,حذف الظرف نهائياً,Supprimer l'enveloppe définitivement
alloc_delete_no_linked_msg,Dialog content,"This envelope has no linked categories. All ledger history will be removed.\n\nAre you sure? This cannot be undone.","هذا الظرف ليس له فئات مرتبطة. سيتم حذف كل سجل الدفتر.\n\nهل أنت متأكد؟ لا يمكن التراجع.","Cette enveloppe n'a pas de catégories liées. Tout l'historique sera supprimé.\n\nÊtes-vous sûr ? Cette action est irréversible."
alloc_created,Snackbar,Envelope created,تم إنشاء الظرف,Enveloppe créée
alloc_updated,Snackbar,Envelope updated,تم تحديث الظرف,Enveloppe mise à jour
alloc_saved_prefix,Allocation card prefix,Saved: ,مدّخر: ,Épargné :
alloc_percent_saved,Progress text,{pct}% saved,{pct}% مدّخر,{pct}% épargné
# ──────────────────────────────────────────────
# FUNDING SCREEN
# ──────────────────────────────────────────────
fund_title,AppBar title,Fund Envelopes,تمويل الأظرف,Financer les enveloppes
fund_error,Error retry,Couldn't load envelopes,تعذّر تحميل الأظرف,Impossible de charger les enveloppes
fund_overfunding_title,Warning dialog title,Over-funding,تمويل زائد,Surfinancement
fund_overfunding_msg,Warning dialog content,"You're assigning {details}. Your unallocated balance will go negative.\n\nContinue anyway?","أنت توزع {details}. سيصبح رصيدك غير الموزع سالباً.\n\nالمتابعة؟","Vous affectez {details}. Votre solde non affecté deviendra négatif.\n\nContinuer ?"
fund_anyway,Dialog button,Fund Anyway,تمويل على أي حال,Financer quand même
fund_note,Ledger note,Funded from Unallocated,موّل من غير الموزع,Financé depuis Non affecté
fund_success,Snackbar,Allocations funded successfully,تم تمويل الأظرف بنجاح,Enveloppes financées avec succès
fund_error_msg,Error snackbar,Error funding allocations: {error},خطأ في تمويل الأظرف: {error},Erreur lors du financement : {error}
# ──────────────────────────────────────────────
# ACCOUNTS — List
# ──────────────────────────────────────────────
acct_title,Screen title,Accounts,الحسابات,Comptes
acct_no_yet,Empty state,No accounts yet,لا حسابات بعد,Aucun compte pour le moment
acct_tap_plus,Empty state subtitle,Tap + to add one,اضغط + لإضافة حساب,Appuyez sur + pour en ajouter
acct_total_balance,Card header,Total Balance,الرصيد الإجمالي,Solde total
acct_add_tooltip,FAB tooltip,Add account,إضافة حساب,Ajouter un compte
acct_show_archived,Menu item,Show Archived,إظهار المؤرشفة,Afficher les archivés
acct_hide_archived,Menu item,Hide Archived,إخفاء المؤرشفة,Masquer les archivés
acct_archived_section,Section header,ARCHIVED,مؤرشفة,ARCHIVÉS
acct_no_archived,Empty state,No archived accounts,لا حسابات مؤرشفة,Aucun compte archivé
acct_unarchive_title,Dialog title,Unarchive Account,إلغاء أرشفة الحساب,Désarchiver le compte
acct_unarchive_confirm,Dialog content,Restore "{name}" to your active accounts?,استعادة "{name}" إلى حساباتك النشطة ?,Restaurer « {name} » dans vos comptes actifs ?
acct_unarchive_button,Dialog button,Unarchive,إلغاء الأرشفة,Désarchiver
acct_unarchived,Snackbar,{name} unarchived,تم إلغاء أرشفة {name},{name} désarchivé
acct_unarchive_tooltip,Tooltip,Unarchive,إلغاء الأرشفة,Désarchiver
# ──────────────────────────────────────────────
# ACCOUNTS — Detail
# ──────────────────────────────────────────────
acct_new_title,AppBar title,New Account,حساب جديد,Nouveau compte
acct_fallback_name,Fallback,Account,حساب,Compte
acct_type_cash,Type option,Cash,نقدي,Espèces
acct_type_bank,Type option,Bank,بنك,Banque
acct_type_credit,Type option,Credit card,بطاقة ائتمان,Carte de crédit
acct_type_digital,Type option,Digital wallet,محفظة رقمية,Portefeuille numérique
acct_adjust_balance,Menu item,Adjust Balance,تعديل الرصيد,Ajuster le solde
# ──────────────────────────────────────────────
# CATEGORIES
# ──────────────────────────────────────────────
cat_title,Screen title,Categories,الفئات,Catégories
cat_add_tooltip,FAB tooltip,Add category,إضافة فئة,Ajouter une catégorie
# ──────────────────────────────────────────────
# RECURRING
# ──────────────────────────────────────────────
recurring_add_tooltip,FAB tooltip,Add recurring transaction,إضافة معاملة متكررة,Ajouter une transaction récurrente
freq_daily,Frequency label,Daily,يومي,Quotidien
freq_weekly,Frequency label,Weekly,أسبوعي,Hebdomadaire
freq_monthly,Frequency label,Monthly,شهري,Mensuel
freq_yearly,Frequency label,Yearly,سنوي,Annuel
freq_every_n_days,Frequency (interval),Every {n} days,كل {n} أيام,Tous les {n} jours
freq_every_n_weeks,Frequency (interval),Every {n} weeks,كل {n} أسابيع,Toutes les {n} semaines
freq_every_n_months,Frequency (interval),Every {n} months,كل {n} أشهر,Tous les {n} mois
freq_every_n_years,Frequency (interval),Every {n} years,كل {n} سنوات,Tous les {n} ans
# ──────────────────────────────────────────────
# BILL CALENDAR
# ──────────────────────────────────────────────
bill_cal_title,AppBar title,Bill Calendar,تقويم الفواتير,Calendrier des factures
bill_cal_n_due,Day sheet subtitle,{count} bill(s) due,{count} فاتورة(فواتير) مستحقة,{count} facture(s) due(s)
bill_cal_upcoming,Section header,UPCOMING,القادمة,À VENIR
bill_cal_no_upcoming,Empty state,No upcoming bills,لا فواتير قادمة,Aucune facture à venir
# ──────────────────────────────────────────────
# UPCOMING BILLS
# ──────────────────────────────────────────────
upcoming_title,AppBar title,Upcoming Bills,الفواتير القادمة,Factures à venir
upcoming_no_title,Empty state title,No upcoming bills,لا فواتير قادمة,Aucune facture à venir
upcoming_no_subtitle,Empty state subtitle,Create recurring transactions to see them here.,أنشئ معاملات متكررة لرؤيتها هنا.,Créez des transactions récurrentes pour les voir ici.
upcoming_overdue,Urgency label,Overdue by {days} day(s),متأخرة {days} يوم(أيام),En retard de {days} jour(s)
upcoming_due_today,Urgency label,Due today,مستحقة اليوم,Due aujourd'hui
upcoming_due_tomorrow,Urgency label,Due tomorrow,مستحقة غداً,Due demain
upcoming_due_in_days,Urgency label,Due in {days} days,مستحقة خلال {days} أيام,Due dans {days} jours
# ──────────────────────────────────────────────
# SUBSCRIPTIONS
# ──────────────────────────────────────────────
sub_title,Screen title,Subscriptions,الاشتراكات,Abonnements
sub_add_tooltip,FAB tooltip,Add subscription,إضافة اشتراك,Ajouter un abonnement
sub_new_title,Sheet title,New Subscription,اشتراك جديد,Nouvel abonnement
sub_total,Chip subtitle,Total,الإجمالي,Total
sub_active,Status label,Active,نشط,Actif
sub_cancelled,Status label,Cancelled,ملغى,Annulé
sub_no_title,Empty state title,No subscriptions,لا اشتراكات,Aucun abonnement
sub_no_subtitle,Empty state subtitle,Add a recurring transaction and mark it as a subscription,أضف معاملة متكررة وحددها كاشتراك,Ajoutez une transaction récurrente et marquez-la comme abonnement
sub_ending_soon,Status label,Ending soon,ينتهي قريباً,Se termine bientôt
sub_pause,Tooltip,Pause,إيقاف مؤقت,Mettre en pause
sub_resume,Tooltip,Resume,استئناف,Reprendre
sub_untitled,Fallback title,Untitled,بدون عنوان,Sans titre
# ──────────────────────────────────────────────
# SUBSCRIPTION DETAIL
# ──────────────────────────────────────────────
sub_detail_error,Error state,Could not load subscription,تعذّر تحميل الاشتراك,Impossible de charger l'abonnement
sub_detail_not_found,Empty state,Subscription not found,الاشتراك غير موجود,Abonnement introuvable
sub_detail_annual_cost,Subtitle,Annual cost: {amount},التكلفة السنوية: {amount},Coût annuel : {amount}
sub_detail_status,Detail label,Status,الحالة,Statut
sub_detail_active_since,Detail label,Active since,نشط منذ,Actif depuis
sub_detail_next_billing,Detail label,Next billing,الفوترة التالية,Prochaine facturation
sub_detail_ends_on,Detail label,Ends on,ينتهي في,Se termine le
sub_detail_total_paid,Detail label,Total paid (est.),إجمالي المدفوع (تقديري),Total payé (est.)
sub_detail_price_history,Section header,PRICE HISTORY,تاريخ الأسعار,HISTORIQUE DES PRIX
sub_detail_present,Date suffix,present,الحالي,présent
sub_detail_change_cancel,Button,Change Cancel Date,تغيير تاريخ الإلغاء,Modifier la date d'annulation
sub_detail_set_cancel,Button,Set Cancellation Date,تحديد تاريخ الإلغاء,Définir la date d'annulation
sub_detail_past_tx,Section header,PAST TRANSACTIONS,المعاملات السابقة,TRANSACTIONS PASSÉES
sub_detail_upcoming,Section header,UPCOMING,القادمة,À VENIR
sub_detail_scheduled,Subtitle,scheduled,مجدول,prévu
sub_detail_cancel_title,Dialog title,Cancel subscription,إلغاء الاشتراك,Annuler l'abonnement
# ──────────────────────────────────────────────
# TEMPLATES
# ──────────────────────────────────────────────
tmpl_title,Screen title,Templates,القوالب,Modèles
tmpl_sort_tooltip,Tooltip,Sort,ترتيب,Trier
tmpl_group_tooltip,Tooltip,Group,تجميع,Grouper
tmpl_sort_most_used,Sort option,Most used,الأكثر استخداماً,Les plus utilisés
tmpl_sort_az,Sort option,A–Z,أ–ي,A–Z
tmpl_sort_newest,Sort option,Newest first,الأحدث أولاً,Plus récent d'abord
tmpl_sort_highest,Sort option,Highest amount,الأعلى مبلغاً,Montant le plus élevé
tmpl_group_none,Group option,No grouping,بدون تجميع,Pas de groupement
tmpl_group_type,Group option,By type,حسب النوع,Par type
tmpl_group_category,Group option,By category,حسب الفئة,Par catégorie
tmpl_search_hint,Search hint,Search templates...,البحث في القوالب...,Rechercher des modèles...
tmpl_no_title,Empty state title,No templates found,لا قوالب موجودة,Aucun modèle trouvé
tmpl_no_subtitle,Empty state subtitle,Save frequent transactions for quick re-use,احفظ المعاملات المتكررة لإعادة الاستخدام السريع,Enregistrez les transactions fréquentes pour les réutiliser rapidement
tmpl_add_tooltip,FAB tooltip,Add template,إضافة قالب,Ajouter un modèle
tmpl_use,Action,Use template,استخدام القالب,Utiliser le modèle
tmpl_delete_title,Dialog title,Delete template?,حذف القالب؟,Supprimer le modèle ?
tmpl_delete_msg,Dialog content,This template will be permanently removed.,سيتم حذف هذا القالب نهائياً.,Ce modèle sera supprimé définitivement.
tmpl_new_title,Sheet title,New Template,قالب جديد,Nouveau modèle
tmpl_new_desc,Sheet description,Save a transaction you do often for quick re-use.,احفظ معاملة تقوم بها كثيراً لإعادة الاستخدام السريع.,Enregistrez une transaction fréquente pour la réutiliser rapidement.
tmpl_title_label,Field label,Title,العنوان,Titre
tmpl_title_required,Validation error,Title is required,العنوان مطلوب,Le titre est requis
tmpl_amount_label,Field label,Amount,المبلغ,Montant
tmpl_account_label,Field label,Account,الحساب,Compte
tmpl_category_optional,Field label,Category (optional),الفئة (اختياري),Catégorie (optionnel)
tmpl_save_button,Button,Save Template,حفظ القالب,Enregistrer le modèle
# ──────────────────────────────────────────────
# OBJECTIVES (Goals & Loans)
# ──────────────────────────────────────────────
obj_title,Screen title,Goals & Loans,الأهداف والقروض,Objectifs et prêts
obj_failed_to_load,Error state,Failed to load objectives,فشل تحميل الأهداف,Échec du chargement des objectifs
obj_no_title,Empty state title,No goals or loans yet,لا أهداف أو قروض بعد,Aucun objectif ou prêt
obj_no_subtitle,Empty state subtitle,"Create a savings goal or track money you lent or borrowed.",أنشئ هدف ادخار أو تتبع أموالاً أقرضتها أو اقترضتها.,Créez un objectif d'épargne ou suivez l'argent prêté ou emprunté.
obj_goals_section,Section header,GOALS,الأهداف,OBJECTIFS
obj_loans_section,Section header,LOANS,القروض,PRÊTS
obj_lent_to,Subtitle,Lent to {contact},أُقرض لـ {contact},Prêté à {contact}
obj_borrowed_from,Subtitle,Borrowed from {contact},اقتُرض من {contact},Emprunté à {contact}
obj_due,Deadline text,Due {date},مستحق {date},Dû le {date}
obj_new_title,AppBar title,New Objective,هدف جديد,Nouvel objectif
obj_name_required,Validation error,Name is required,الاسم مطلوب,Le nom est requis
obj_created,Snackbar,Objective created,تم إنشاء الهدف,Objectif créé
obj_updated,Snackbar,Objective updated,تم تحديث الهدف,Objectif mis à jour
obj_no_accounts,Snackbar,No accounts available,لا حسابات متاحة,Aucun compte disponible
obj_record_payment,Sheet/button,Record Payment,تسجيل دفعة,Enregistrer un paiement
obj_add_funds,Sheet/button,Add Funds,إضافة أموال,Ajouter des fonds
obj_record_received,Button,Record Payment Received,تسجيل دفعة مستلمة,Enregistrer un paiement reçu
obj_record_sent,Button,Record Payment Sent,تسجيل دفعة مرسلة,Enregistrer un paiement envoyé
obj_save_from_account,Button,Save from Account,حفظ من حساب,Épargner depuis un compte
obj_goal_chip,Type chip,Goal,هدف,Objectif
obj_loan_chip,Type chip,Loan,قرض,Prêt
obj_goal_name,Field label,Goal name,اسم الهدف,Nom de l'objectif
obj_goal_name_hint,Field hint,e.g. Emergency fund,مثل: صندوق الطوارئ,ex. Fonds d'urgence
obj_loan_name,Field label,Loan name,اسم القرض,Nom du prêt
obj_loan_name_hint,Field hint,e.g. Car loan,مثل: قرض السيارة,ex. Prêt auto
obj_person,Field label,Person,الشخص,Personne
obj_person_hint,Field hint,"e.g. Ali, Bank, etc.","مثل: علي، البنك، إلخ.","ex. Ali, Banque, etc."
obj_direction,Label,Direction,الاتجاه,Direction
obj_i_lent,Segment,I lent,أقرضت,J'ai prêté
obj_i_borrowed,Segment,I borrowed,اقترضت,J'ai emprunté
obj_set_deadline,InkWell label,Set a deadline (optional),تحديد موعد نهائي (اختياري),Définir une échéance (optionnel)
obj_color_section,Section header,COLOR,اللون,COULEUR
obj_delete_title,Dialog title,Delete Objective,حذف الهدف,Supprimer l'objectif
obj_edit_settings,Menu item,Edit Settings,تعديل الإعدادات,Modifier les paramètres
obj_hide_settings,Menu item,Hide Settings,إخفاء الإعدادات,Masquer les paramètres
obj_payments_section,Section header,PAYMENTS,الدفعات,PAIEMENTS
obj_no_payments,Empty state,No payments yet,لا دفعات بعد,Aucun paiement
